# mar 15 mar 2016, 22.43.49, CET                              
# Input files for the model atmosphere: 
# PT profile: IG_april+45_ngt_PT.DAT
# Composition: IG_april+45_ngt.DAT
#
# Alt(km); X = log(1000/P(hPa)); AM = mean mol.    mass; gases (abundance fraction)
#
#   Alt     X        T          O         O2         N2        CO2         O3    AM
#
   0.1  0.00  284.120 0.1000E-20 0.2120E+00 0.7671E+00 0.3739E-03 0.0000E+00 28.96
   2.2  0.25  270.896 0.1000E-20 0.2120E+00 0.7728E+00 0.3739E-03 0.0000E+00 28.96
   4.1  0.50  259.687 0.1000E-20 0.2120E+00 0.7756E+00 0.3739E-03 0.0000E+00 28.96
   6.0  0.75  247.670 0.1000E-20 0.2120E+00 0.7770E+00 0.3739E-03 0.0000E+00 28.96
   7.7  1.00  235.122 0.1000E-20 0.2120E+00 0.7777E+00 0.3739E-03 0.0000E+00 28.96
   9.4  1.25  225.318 0.1000E-20 0.2120E+00 0.7780E+00 0.3739E-03 0.0000E+00 28.96
  11.0  1.50  219.424 0.1000E-20 0.2120E+00 0.7782E+00 0.3739E-03 0.0000E+00 28.96
  12.6  1.75  217.248 0.1000E-20 0.2120E+00 0.7783E+00 0.3739E-03 0.0000E+00 28.96
  14.2  2.00  216.976 0.1000E-20 0.2120E+00 0.7783E+00 0.3737E-03 0.0000E+00 28.96
  15.8  2.25  216.900 0.1000E-20 0.2120E+00 0.7783E+00 0.3728E-03 0.0000E+00 28.96
  17.4  2.50  216.800 0.1000E-20 0.2120E+00 0.7783E+00 0.3712E-03 0.0000E+00 28.96
  19.0  2.75  216.805 0.1000E-20 0.2120E+00 0.7783E+00 0.3695E-03 0.0000E+00 28.96
  20.6  3.00  217.125 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  22.2  3.25  217.714 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  23.8  3.50  218.684 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  25.5  3.75  220.154 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  27.1  4.00  222.226 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  28.7  4.25  225.000 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  30.4  4.50  229.037 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  32.1  4.75  234.234 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  33.9  5.00  240.374 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  35.7  5.25  246.753 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  37.5  5.50  253.003 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  39.4  5.75  258.900 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  41.4  6.00  263.950 0.1000E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  43.3  6.25  268.112 0.1062E-20 0.2110E+00 0.7793E+00 0.3683E-03 0.0000E+00 28.96
  45.3  6.50  270.774 0.1718E-20 0.2113E+00 0.7790E+00 0.3683E-03 0.0000E+00 28.96
  47.4  6.75  271.200 0.4814E-20 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  49.4  7.00  270.086 0.1869E-19 0.2120E+00 0.7783E+00 0.3683E-03 0.0000E+00 28.96
  51.4  7.25  267.045 0.6403E-19 0.2120E+00 0.7783E+00 0.3694E-03 0.0000E+00 28.96
  53.3  7.50  262.528 0.1965E-18 0.2120E+00 0.7783E+00 0.3729E-03 0.0000E+00 28.96
  55.3  7.75  257.386 0.6248E-18 0.2120E+00 0.7783E+00 0.3743E-03 0.0000E+00 28.96
  57.2  8.00  251.812 0.2485E-17 0.2110E+00 0.7793E+00 0.3740E-03 0.0000E+00 28.96
  59.0  8.25  246.537 0.1304E-16 0.2120E+00 0.7783E+00 0.3736E-03 0.0000E+00 28.96
  60.8  8.50  242.253 0.1030E-15 0.2112E+00 0.7791E+00 0.3732E-03 0.0000E+00 28.96
  62.6  8.75  238.680 0.1053E-14 0.2116E+00 0.7787E+00 0.3728E-03 0.0000E+00 28.96
  64.4  9.00  235.456 0.1459E-13 0.2120E+00 0.7783E+00 0.3723E-03 0.0000E+00 28.96
  66.2  9.25  232.297 0.2598E-12 0.2120E+00 0.7784E+00 0.3718E-03 0.0000E+00 28.96
  67.9  9.50  229.109 0.4603E-11 0.2120E+00 0.7784E+00 0.3712E-03 0.0000E+00 28.96
  69.6  9.75  225.889 0.9809E-10 0.2120E+00 0.7784E+00 0.3704E-03 0.0000E+00 28.96
  71.3 10.00  222.774 0.9288E-09 0.2118E+00 0.7786E+00 0.3695E-03 0.0000E+00 28.96
  72.9 10.25  219.369 0.5164E-08 0.2113E+00 0.7792E+00 0.3680E-03 0.0000E+00 28.96
  74.5 10.50  215.173 0.2632E-07 0.2106E+00 0.7800E+00 0.3661E-03 0.0000E+00 28.96
  76.1 10.75  210.670 0.1118E-06 0.2097E+00 0.7809E+00 0.3629E-03 0.0000E+00 28.96
